count,latency,loop
0,27252,0
1,24815,0
2,23313,0
3,26091,0
4,30092,0
5,21019,0
6,32329,0
7,20562,0
8,20938,0
9,18234,0
0,8796,1
1,11492,1
2,9164,1
3,8693,1
4,13121,1
5,7043,1
6,8248,1
7,8621,1
8,8617,1
9,9317,1
0,15820,2
1,28251,2
2,20143,2
3,23976,2
4,22760,2
5,17481,2
6,16060,2
7,20059,2
8,26500,2
9,20823,2
0,38868,3
1,46019,3
2,41903,3
3,21304,3
4,43591,3
5,40741,3
6,42374,3
7,38563,3
8,22211,3
9,41399,3
0,36891,4
1,40667,4
2,34122,4
3,33623,4
4,28388,4
5,31293,4
6,35115,4
7,31135,4
8,39543,4
9,33863,4
0,8525,5
1,10963,5
2,9389,5
3,16561,5
4,6752,5
5,10415,5
6,9832,5
7,14536,5
8,9240,5
9,10505,5
0,20026,6
1,12382,6
2,18886,6
3,20748,6
4,23010,6
5,18730,6
6,12183,6
7,20303,6
8,21658,6
9,13500,6
0,23024,7
1,25149,7
2,17708,7
3,20655,7
4,28037,7
5,25305,7
6,19767,7
7,15626,7
8,24944,7
9,13436,7
0,13234,8
1,13925,8
2,9606,8
3,19883,8
4,11018,8
5,19958,8
6,20204,8
7,14114,8
8,16900,8
9,22612,8
0,26343,9
1,27441,9
2,17828,9
3,28037,9
4,17085,9
5,18592,9
6,27222,9
7,19940,9
8,21170,9
9,26767,9
0,28391,10
1,34495,10
2,35393,10
3,24739,10
4,33209,10
5,27900,10
6,28397,10
7,33344,10
8,26662,10
9,33436,10
0,31339,11
1,34406,11
2,13995,11
3,14339,11
4,32454,11
5,32515,11
6,30122,11
7,31365,11
8,31677,11
9,31452,11
0,31731,12
1,31646,12
2,32774,12
3,31433,12
4,32060,12
5,35073,12
6,13185,12
7,33138,12
8,34884,12
9,13173,12
0,16783,13
1,34711,13
2,36998,13
3,19247,13
4,28688,13
5,31918,13
6,16977,13
7,29797,13
8,26633,13
9,37563,13
0,14597,14
1,12994,14
2,20340,14
3,19272,14
4,19460,14
5,19909,14
6,23009,14
7,12779,14
8,19360,14
9,16092,14
0,16733,15
1,26598,15
2,13950,15
3,22361,15
4,22443,15
5,12499,15
6,20082,15
7,14984,15
8,24136,15
9,10379,15
0,14526,16
1,10911,16
2,9452,16
3,11543,16
4,15285,16
5,13694,16
6,14348,16
7,28877,16
8,11976,16
9,13677,16
0,10944,17
1,19599,17
2,11678,17
3,13713,17
4,14538,17
5,13502,17
6,10421,17
7,11744,17
8,9219,17
9,15377,17
0,34476,18
1,25303,18
2,26810,18
3,30316,18
4,34982,18
5,28181,18
6,34166,18
7,24140,18
8,37321,18
9,35824,18
0,11840,19
1,5807,19
2,15452,19
3,14320,19
4,10731,19
5,12553,19
6,19127,19
7,8234,19
8,17598,19
9,8894,19
0,12516,20
1,12283,20
2,15405,20
3,19214,20
4,13133,20
5,11768,20
6,16145,20
7,13451,20
8,14896,20
9,14338,20
0,9324,21
1,11265,21
2,11340,21
3,15276,21
4,9877,21
5,8635,21
6,16390,21
7,11154,21
8,12244,21
9,15291,21
0,10668,22
1,17610,22
2,16487,22
3,12197,22
4,13277,22
5,14729,22
6,12819,22
7,10570,22
8,15995,22
9,13806,22
0,16472,23
1,18619,23
2,19109,23
3,20646,23
4,18288,23
5,14218,23
6,16022,23
7,18423,23
8,19747,23
9,12976,23
0,18557,24
1,16680,24
2,16755,24
3,15589,24
4,20363,24
5,18522,24
6,17119,24
7,16114,24
8,14379,24
9,20540,24
0,26160,25
1,17373,25
2,29289,25
3,27662,25
4,23336,25
5,12663,25
6,23849,25
7,12464,25
8,33121,25
9,13895,25
0,23342,26
1,23132,26
