count,time,living-containers
1,12:09:52,0
2,12:23:16,0
3,12:36:40,0
4,12:50:04,0
5,13:03:28,0
6,13:16:52,0
7,13:30:16,0
8,13:43:40,0
9,13:57:04,0
10,14:10:28,0
11,14:23:52,0
12,14:37:16,0
13,14:50:41,0
14,15:04:05,0
15,15:17:29,0
16,15:30:53,0
17,15:44:18,0
18,15:57:41,0
19,16:11:06,0
20,16:24:30,0
21,16:37:55,0
22,16:51:19,0
23,17:04:43,0
24,17:18:07,0
25,17:31:31,0
26,17:44:55,0
27,17:58:19,0
28,18:11:43,0
29,18:25:08,0
30,18:38:32,0
31,18:51:56,0
32,19:05:21,0
33,19:18:45,0
34,19:32:10,0
35,19:45:34,0
36,19:58:58,0
37,20:12:23,0
38,20:25:48,0
39,20:39:12,0
40,20:52:37,0
41,21:06:01,0
42,21:19:25,0
43,21:32:50,0
44,21:46:15,0
45,21:59:39,0
46,22:13:04,0
47,22:26:28,0
48,22:39:53,0
49,22:53:17,0
50,23:06:41,0
51,23:20:05,0
52,23:33:30,0
53,23:46:54,0
54,00:00:19,0
55,00:13:43,0
56,00:27:07,0
57,00:40:32,0
58,00:53:56,0
59,01:07:21,0
60,01:20:45,0
61,01:34:10,0
62,01:47:34,0
63,02:00:59,0
64,02:14:24,0
65,02:27:48,0
66,02:41:13,0
67,02:54:37,0
68,03:08:02,0
69,03:21:26,0
70,03:34:51,0
71,03:48:16,0
72,04:01:40,0
73,04:15:05,0
74,04:28:30,0
75,04:41:54,0
76,04:55:19,0
77,05:08:44,0
78,05:22:09,0
79,05:35:33,0
80,05:48:58,0
81,06:02:23,0
82,06:15:48,0
83,06:29:13,0
84,06:42:37,0
85,06:56:02,0
86,07:09:27,0
87,07:22:52,0
88,07:36:16,0
89,07:49:41,0
90,08:03:06,0
91,08:16:30,0
92,08:29:55,0
93,08:43:19,0
94,08:56:44,0
95,09:10:08,0
96,09:23:33,0
97,09:36:58,0
98,09:50:22,0
99,10:03:47,0
100,10:17:12,0
