count,latency,loop
0,7847,0
1,15595,0
2,15788,0
3,8505,0
4,10876,0
5,9505,0
6,10306,0
7,11817,0
8,18365,0
9,12350,0
0,5773,1
1,6438,1
2,5586,1
3,11564,1
4,2708,1
5,9947,1
6,14010,1
7,6704,1
8,9118,1
9,4213,1
0,4848,2
1,4388,2
2,12014,2
3,6259,2
4,6194,2
5,6191,2
6,5116,2
7,5738,2
8,10520,2
9,12728,2
0,11173,3
1,4819,3
2,10039,3
3,7926,3
4,9895,3
5,6682,3
6,4396,3
7,5693,3
8,3548,3
9,4624,3
0,3539,4
1,6159,4
2,6788,4
3,14613,4
4,3274,4
5,13606,4
6,5446,4
7,6704,4
8,4391,4
9,6308,4
0,3516,5
1,9108,5
2,2552,5
3,7529,5
4,5874,5
5,4733,5
6,11172,5
7,8005,5
8,7707,5
9,8969,5
0,18690,6
1,5649,6
2,14159,6
3,26020,6
4,14587,6
5,11879,6
6,15689,6
7,14050,6
8,8137,6
9,13838,6
0,4863,7
1,10696,7
2,6952,7
3,5286,7
4,5048,7
5,3845,7
6,5602,7
7,7507,7
8,7850,7
9,10873,7
0,11439,8
1,10728,8
2,4993,8
3,5667,8
4,4170,8
5,17519,8
6,6371,8
7,3831,8
8,12145,8
9,6493,8
0,15559,9
1,5450,9
2,11330,9
3,8058,9
4,11116,9
5,14819,9
6,14296,9
7,8757,9
8,11120,9
9,11587,9
0,6839,10
1,17768,10
2,13806,10
3,11848,10
4,12473,10
5,9478,10
6,11216,10
7,11972,10
8,14161,10
9,15446,10
0,19761,11
1,9821,11
2,17279,11
3,3600,11
4,7435,11
5,14042,11
6,14136,11
7,8672,11
8,21991,11
9,14062,11
0,3726,12
1,7792,12
2,7879,12
3,8855,12
4,7184,12
5,8667,12
6,5895,12
7,4965,12
8,9487,12
9,7512,12
0,6108,13
1,10928,13
2,9545,13
3,4793,13
4,7569,13
5,7881,13
6,10077,13
7,6148,13
8,10769,13
9,10182,13
0,5363,14
1,5265,14
2,15962,14
3,8037,14
4,5421,14
5,5025,14
6,7382,14
7,9507,14
8,6286,14
9,5061,14
0,9273,15
1,10565,15
2,7569,15
3,7874,15
4,9412,15
5,15886,15
6,15033,15
7,6590,15
8,6968,15
9,9917,15
0,9227,16
1,7467,16
2,5538,16
3,3454,16
4,5242,16
5,2872,16
6,10773,16
7,3476,16
8,8004,16
9,3611,16
0,8642,17
1,11519,17
2,10785,17
3,7410,17
4,3591,17
5,4737,17
6,8249,17
7,13254,17
8,4593,17
9,5449,17
0,7177,18
1,3595,18
2,7004,18
3,6526,18
4,12057,18
5,5018,18
6,8864,18
7,9896,18
8,7144,18
9,9387,18
0,3990,19
1,2911,19
2,3296,19
3,3404,19
4,16856,19
5,5917,19
6,1873,19
7,4697,19
8,3611,19
9,4035,19
0,2681,20
1,19779,20
2,27024,20
3,9253,20
4,8771,20
5,9298,20
6,9459,20
7,7940,20
8,10443,20
9,12344,20
0,7676,21
1,7351,21
2,9095,21
3,8487,21
4,9281,21
5,3683,21
6,6325,21
7,4112,21
8,8407,21
9,3458,21
0,8333,22
1,5282,22
2,6749,22
3,6012,22
4,12337,22
5,5098,22
6,3117,22
7,7065,22
8,1547,22
9,6737,22
0,9281,23
1,8578,23
2,5401,23
3,6696,23
4,8766,23
5,12971,23
6,2874,23
7,13852,23
8,8055,23
9,4355,23
0,7236,24
1,12117,24
2,8543,24
3,12050,24
4,12015,24
5,8241,24
6,5717,24
7,9743,24
8,8450,24
9,13421,24
0,15227,25
1,7343,25
2,11355,25
3,10618,25
4,7884,25
5,4685,25
6,7190,25
7,13332,25
8,6931,25
9,14881,25
0,10293,26
1,8205,26
2,11428,26
3,10444,26
4,11473,26
5,7857,26
6,12559,26
7,12150,26
8,18127,26
9,17233,26
0,7179,27
1,4353,27
2,10471,27
3,17198,27
4,2666,27
5,7313,27
6,15964,27
7,7196,27
8,8904,27
9,10015,27
0,8223,28
1,17111,28
2,12353,28
3,11643,28
4,8453,28
5,9898,28
6,5404,28
7,22829,28
8,14037,28
9,9876,28
0,5339,29
1,7706,29
2,9365,29
3,7330,29
4,5610,29
5,10213,29
6,10298,29
7,12255,29
8,15548,29
9,4273,29
0,4957,30
1,5091,30
2,5407,30
3,16897,30
4,1747,30
5,4838,30
6,4079,30
7,12196,30
8,10307,30
9,9655,30
0,10942,31
1,15100,31
2,6988,31
3,9934,31
4,11236,31
5,10266,31
6,7685,31
7,5279,31
8,6288,31
9,10135,31
0,8063,32
1,9736,32
2,16535,32
3,10626,32
4,5600,32
5,5615,32
6,5246,32
7,3587,32
8,7242,32
9,8019,32
0,7028,33
1,5601,33
2,3644,33
3,3393,33
4,8753,33
5,9174,33
6,7391,33
7,8035,33
8,6009,33
9,13100,33
0,8138,34
1,4506,34
2,19816,34
3,6545,34
4,8003,34
5,4379,34
6,7941,34
7,6363,34
8,10809,34
9,3947,34
0,11277,35
1,12157,35
2,13685,35
3,6854,35
4,7427,35
5,5695,35
6,8148,35
7,4859,35
8,5439,35
9,10914,35
0,12699,36
1,10143,36
2,13084,36
3,3880,36
4,13227,36
5,6984,36
6,9454,36
7,15158,36
8,6902,36
9,9794,36
0,2233,37
1,14004,37
2,5102,37
3,9422,37
4,6759,37
5,3349,37
6,3155,37
7,3346,37
8,4069,37
9,5484,37
0,10561,38
1,17264,38
2,6212,38
3,5943,38
4,10824,38
5,6675,38
6,14154,38
7,8589,38
8,8567,38
9,10893,38
0,16664,39
1,3176,39
2,6283,39
3,3781,39
4,10760,39
5,4795,39
6,8049,39
7,8840,39
8,4393,39
9,8795,39
0,6753,40
1,7824,40
2,7168,40
3,7593,40
4,4899,40
5,16554,40
6,6339,40
7,5166,40
8,11718,40
9,3051,40
0,5687,41
1,8984,41
2,6113,41
3,7349,41
4,10266,41
5,4582,41
6,7483,41
7,7000,41
8,6355,41
9,5968,41
0,4363,42
1,4045,42
2,4869,42
3,9515,42
4,1402,42
5,5159,42
6,5120,42
7,8276,42
8,3909,42
9,3253,42
0,4980,43
1,5447,43
2,7775,43
3,5622,43
4,7895,43
5,6671,43
6,17049,43
7,2023,43
8,4822,43
9,3081,43
0,7693,44
1,8079,44
2,4485,44
3,10009,44
4,5397,44
5,7478,44
6,5900,44
7,4536,44
8,2223,44
9,8481,44
0,9229,45
1,8645,45
2,7201,45
3,9577,45
4,2667,45
5,6919,45
6,12854,45
7,5347,45
8,5919,45
9,8464,45
0,11516,46
1,10107,46
2,7817,46
3,9175,46
4,2864,46
5,4939,46
6,7241,46
7,5085,46
8,5557,46
9,10483,46
0,5679,47
1,4347,47
2,7999,47
3,6202,47
4,7353,47
5,5289,47
6,6136,47
7,11224,47
8,3934,47
9,11002,47
0,11613,48
1,5026,48
2,14412,48
3,3297,48
4,17826,48
5,12381,48
6,14073,48
7,16655,48
8,9464,48
9,4673,48
0,11217,49
1,9663,49
2,5286,49
3,12788,49
4,13190,49
5,9503,49
6,10520,49
7,10201,49
8,10210,49
9,7712,49
0,3572,50
1,13540,50
2,7872,50
3,10422,50
4,9063,50
5,5708,50
6,4089,50
7,11925,50
8,12009,50
9,8080,50
0,9571,51
1,11077,51
2,5353,51
3,4958,51
4,5794,51
5,4742,51
6,6802,51
7,8609,51
8,3706,51
9,5187,51
0,6596,52
1,6155,52
2,9573,52
3,6132,52
4,6341,52
5,3916,52
6,4869,52
7,7385,52
8,5807,52
9,3087,52
0,12963,53
1,5331,53
2,7303,53
3,8141,53
4,4260,53
5,4922,53
6,11500,53
7,6293,53
8,4293,53
9,6922,53
0,10218,54
1,4428,54
2,8885,54
3,11380,54
4,11674,54
5,10639,54
6,9597,54
7,6248,54
8,12935,54
9,7652,54
0,9689,55
1,19721,55
2,20813,55
3,7310,55
4,12974,55
5,20551,55
6,19819,55
7,9386,55
8,19120,55
9,21144,55
0,3523,56
1,4949,56
2,5419,56
3,4305,56
4,7847,56
5,5248,56
6,6759,56
7,5418,56
8,4500,56
9,5316,56
0,10314,57
1,7699,57
2,11457,57
3,2672,57
4,11822,57
5,9737,57
6,11068,57
7,6839,57
8,8728,57
9,10546,57
0,4189,58
1,8597,58
2,12013,58
3,4028,58
4,9414,58
5,9124,58
6,8747,58
7,3859,58
8,8067,58
9,2603,58
0,1759,59
1,5994,59
2,8562,59
3,14013,59
4,5139,59
5,2982,59
6,12094,59
7,4312,59
8,3411,59
9,3709,59
0,6602,60
1,17329,60
2,6831,60
3,6958,60
4,8883,60
5,5892,60
6,3213,60
7,7575,60
8,3978,60
9,3386,60
0,2877,61
1,8523,61
2,9357,61
3,5626,61
4,3632,61
5,5196,61
6,5580,61
7,6559,61
8,5361,61
9,7319,61
0,8561,62
1,6154,62
2,3988,62
3,6894,62
4,11138,62
5,3813,62
6,5706,62
7,8743,62
8,8662,62
9,9285,62
0,5380,63
1,6928,63
2,22218,63
3,9082,63
4,16424,63
5,6423,63
6,14410,63
7,7366,63
8,9120,63
9,14693,63
0,2857,64
1,11948,64
2,6350,64
3,5066,64
4,12503,64
5,6676,64
6,1933,64
7,5911,64
8,1629,64
9,4468,64
0,4585,65
1,2874,65
2,2640,65
3,4808,65
4,4562,65
5,4355,65
6,8306,65
7,6086,65
8,5641,65
9,7246,65
0,5747,66
1,5094,66
2,5127,66
3,3987,66
4,3117,66
5,5410,66
6,8338,66
7,6369,66
