count,time,living-containers
1,10:32:17,0
2,10:45:41,0
3,10:59:05,0
4,11:12:28,0
5,11:25:52,0
6,11:39:16,0
7,11:52:39,0
8,12:06:02,0
9,12:19:26,0
10,12:32:50,0
11,12:46:14,0
12,12:59:37,0
13,13:13:01,0
14,13:26:24,0
15,13:39:48,0
16,13:53:12,0
17,14:06:35,0
18,14:19:59,0
19,14:33:23,0
20,14:46:47,0
21,15:00:11,0
22,15:13:34,0
23,15:26:58,0
24,15:40:21,0
25,15:53:45,0
26,16:07:09,0
27,16:20:32,0
28,16:33:56,0
29,16:47:20,0
30,17:00:43,0
31,17:14:07,0
32,17:27:31,0
33,17:40:54,0
34,17:54:18,0
35,18:07:42,0
36,18:21:05,0
37,18:34:29,0
38,18:47:52,0
39,19:01:15,0
40,19:14:39,0
41,19:28:03,0
42,19:41:26,0
43,19:54:50,0
44,20:08:14,0
45,20:21:37,0
46,20:35:01,0
47,20:48:24,0
48,21:01:48,0
49,21:15:12,0
50,21:28:35,0
51,21:41:59,0
52,21:55:22,0
53,22:08:46,0
54,22:22:10,0
55,22:35:33,0
56,22:48:57,0
57,23:02:20,0
58,23:15:44,0
59,23:29:08,0
60,23:42:32,0
61,23:55:56,0
62,00:09:19,0
63,00:22:43,0
64,00:36:07,0
65,00:49:30,0
66,01:02:54,0
67,01:16:18,0
68,01:29:42,0
69,01:43:05,0
70,01:56:29,0
71,02:09:52,0
72,02:23:16,0
73,02:36:40,0
74,02:50:03,0
75,03:03:27,0
76,03:16:51,0
77,03:30:15,0
78,03:43:38,0
79,03:57:01,0
80,04:10:25,0
81,04:23:49,0
82,04:37:12,0
83,04:50:36,0
84,05:04:00,0
85,05:17:23,0
86,05:30:47,0
87,05:44:11,0
88,05:57:34,0
89,06:10:58,0
90,06:24:22,0
91,06:37:45,0
92,06:51:09,0
93,07:04:33,0
94,07:17:56,0
95,07:31:20,0
96,07:44:44,0
97,07:58:07,0
98,08:11:31,0
99,08:24:55,0
100,08:38:18,0
