count,time,living-containers
1,08:47:09,1
2,08:52:51,1
3,08:58:33,1
4,09:04:14,1
5,09:09:56,1
6,09:15:38,1
7,09:21:19,1
8,09:27:01,1
9,09:32:42,1
10,09:38:24,1
11,09:44:06,1
12,09:49:47,1
13,09:55:29,1
14,10:01:11,1
15,10:06:52,1
16,10:12:34,1
17,10:18:15,1
18,10:23:57,1
19,10:29:39,1
20,10:35:21,1
21,10:41:03,1
22,10:46:44,1
23,10:52:26,1
24,10:58:08,1
25,11:03:49,1
26,11:09:31,1
27,11:15:13,1
28,11:20:54,1
29,11:26:36,1
30,11:32:18,1
31,11:38:00,1
32,11:43:42,1
33,11:49:23,1
34,11:55:06,1
35,12:00:48,1
36,12:06:30,1
37,12:12:11,1
38,12:17:53,1
39,12:23:34,1
40,12:29:16,1
41,12:34:58,1
42,12:40:40,1
43,12:46:21,1
44,12:52:03,1
45,12:57:44,1
46,13:03:26,1
47,13:09:08,1
48,13:14:49,1
49,13:20:31,1
50,13:26:12,1
51,13:31:55,1
52,13:37:37,1
53,13:43:18,1
54,13:49:00,1
55,13:54:42,1
56,14:00:24,1
57,14:06:06,1
58,14:11:48,1
59,14:17:30,1
60,14:23:11,1
61,14:28:54,1
62,14:34:36,1
63,14:40:17,1
64,14:45:59,1
65,14:51:40,1
66,14:57:22,1
67,15:03:05,1
68,15:08:47,1
69,15:14:29,1
70,15:20:11,1
71,15:25:52,1
72,15:31:34,1
73,15:37:16,1
74,15:42:58,1
75,15:48:40,1
76,15:54:21,1
77,16:00:03,1
78,16:05:44,1
79,16:11:26,1
80,16:17:07,1
81,16:22:49,1
82,16:28:30,1
83,16:34:12,1
84,16:39:54,1
85,16:45:35,1
86,16:51:17,1
87,16:56:59,1
88,17:02:40,1
89,17:08:22,1
90,17:14:04,1
91,17:19:45,1
92,17:25:27,1
93,17:31:08,1
94,17:36:50,1
95,17:42:31,1
96,17:48:13,1
97,17:53:55,1
98,17:59:37,1
99,18:05:20,1
100,18:11:03,1
