count,time,living-containers
1,23:43:53,1
2,23:49:04,1
3,23:54:15,1
4,23:59:26,1
5,00:04:37,1
6,00:09:49,1
7,00:15:00,1
8,00:20:11,1
9,00:25:22,1
10,00:30:34,1
11,00:35:45,1
12,00:40:56,1
13,00:46:07,1
14,00:51:18,1
15,00:56:29,1
16,01:01:40,1
17,01:06:52,1
18,01:12:03,1
19,01:17:14,1
20,01:22:25,1
21,01:27:36,1
22,01:32:47,1
23,01:37:59,1
24,01:43:10,1
25,01:48:21,1
26,01:53:32,1
27,01:58:43,1
28,02:03:54,1
29,02:09:06,1
30,02:14:17,1
31,02:19:28,1
32,02:24:39,1
33,02:29:50,1
34,02:35:01,1
35,02:40:12,1
36,02:45:23,1
37,02:50:35,1
38,02:55:46,1
39,03:00:57,1
40,03:06:08,1
41,03:11:19,1
42,03:16:31,1
43,03:21:42,1
44,03:26:53,1
45,03:32:04,1
46,03:37:15,1
47,03:42:27,1
48,03:47:38,1
49,03:52:49,1
50,03:58:00,1
51,04:03:12,1
52,04:08:23,1
53,04:13:34,1
54,04:18:45,1
55,04:23:56,1
56,04:29:08,1
57,04:34:19,1
58,04:39:30,1
59,04:44:41,1
60,04:49:52,1
61,04:55:03,1
62,05:00:14,1
63,05:05:25,1
64,05:10:36,1
65,05:15:48,1
66,05:20:59,1
67,05:26:10,1
68,05:31:21,1
69,05:36:32,1
70,05:41:44,1
71,05:46:55,1
72,05:52:06,1
73,05:57:17,1
74,06:02:28,1
75,06:07:40,1
76,06:12:51,1
77,06:18:02,1
78,06:23:13,1
79,06:28:24,1
80,06:33:35,1
81,06:38:46,1
82,06:43:58,1
83,06:49:09,1
84,06:54:20,1
85,06:59:31,1
86,07:04:42,1
87,07:09:53,1
88,07:15:05,1
89,07:20:16,1
90,07:25:27,1
91,07:30:38,1
92,07:35:49,1
93,07:41:01,1
94,07:46:12,1
95,07:51:23,1
96,07:56:34,1
97,08:01:45,1
98,08:06:56,1
99,08:12:07,1
100,08:17:18,1
