loop-number,wasm-light-diff,wasm-light-min-latency,container-light-diff,container-light-min-latency,proposed-light-diff,proposed-light-min-latency,wasm-heavy-diff,wasm-heavy-min-latency,container-heavy-diff,container-heavy-min-latency,proposed-heavy-diff,proposed-heavy-min-latency
1,-0.004160707320244428,595,3.0321347075463656,62546,-0.4485082702117792,373,0.005798194576438265,6412773,0.08844907127354551,3099546,0.08173986246542686,3084982
2,1.6062295973884657,352,3.1867209899351003,65578,-0.2775782117431912,792,0.0027660951474164364,6435708,0.0738562874251496,3099671,0.07877552475011029,3084673
3,-0.08756783423778991,474,2.4324575445389267,73553,0.25182077264091185,850,-3.432085707388843e-05,6449865,0.34699636114095833,3079884,0.060292501935237164,3093247
4,-0.04072996561756148,482,3.145800424551573,64238,-0.2763050185756565,1056,7.30489889950725e-05,6419386,0.06699258657478091,3074431,0.07283373888757172,3091790
5,-0.1642651296829971,504,3.2132345404851383,63032,0.4063271463838347,1012,0.0059352133475596425,6414503,0.05082681834730618,3090277,0.02866847242225834,3087576
6,0.4191419141914192,466,3.2805024469362394,67439,0.23929203539822996,1328,-0.0009744534442687192,6433527,0.07146764850621334,3070515,0.06593605084544585,3088905
7,0.5691848906560635,362,3.023172117962467,63598,-0.15849736893393096,908,0.0033775736680043966,6417957,0.05530738925505796,3086452,0.06482939938020027,3087264
8,-0.18764845605700708,316,2.67012186966476,74761,0.3473483038700431,1289,-0.001231157427957208,6417654,0.07389539839000836,3081943,0.04080098256719178,3094091
9,-0.1598825831702545,402,2.8555970112437787,72846,-0.1791073864743714,1201,0.001001736310647372,6416559,0.073996512316715,3092078,0.025856265827737035,3083785
10,0.293036928164615,354,3.2969458868135995,62361,0.3051173000411578,1033,0.0038816108184409615,6428965,0.06484173211560362,3086506,0.06677078838317074,3097892
