name,task,input,loop-number,count,time
container,heavy,50000000,1,1,3363650
container,heavy,50000000,1,2,3121338
container,heavy,50000000,1,3,3150257
container,heavy,50000000,1,4,3161094
container,heavy,50000000,1,5,3122443
container,heavy,50000000,1,6,3188655
container,heavy,50000000,1,7,3135516
container,heavy,50000000,1,8,3151624
container,heavy,50000000,1,9,3142915
container,heavy,50000000,1,10,3156171
container,heavy,50000000,2,1,3313856
container,heavy,50000000,2,2,3117291
container,heavy,50000000,2,3,3142556
container,heavy,50000000,2,4,3123484
container,heavy,50000000,2,5,3114986
container,heavy,50000000,2,6,3115461
container,heavy,50000000,2,7,3100458
container,heavy,50000000,2,8,3115340
container,heavy,50000000,2,9,3152539
container,heavy,50000000,2,10,3111797
container,heavy,50000000,3,1,3351580
container,heavy,50000000,3,2,3144017
container,heavy,50000000,3,3,3135973
container,heavy,50000000,3,4,3119818
container,heavy,50000000,3,5,3148111
container,heavy,50000000,3,6,3164431
container,heavy,50000000,3,7,3123549
container,heavy,50000000,3,8,3150299
container,heavy,50000000,3,9,3132715
container,heavy,50000000,3,10,3126474
container,heavy,50000000,4,1,3367923
container,heavy,50000000,4,2,3110891
container,heavy,50000000,4,3,3114226
container,heavy,50000000,4,4,3121984
container,heavy,50000000,4,5,3205523
container,heavy,50000000,4,6,3125209
container,heavy,50000000,4,7,3111717
container,heavy,50000000,4,8,3123975
container,heavy,50000000,4,9,3145736
container,heavy,50000000,4,10,3127900
container,heavy,50000000,5,1,3360726
container,heavy,50000000,5,2,3114713
container,heavy,50000000,5,3,3117974
container,heavy,50000000,5,4,3108623
container,heavy,50000000,5,5,3132086
container,heavy,50000000,5,6,3143329
container,heavy,50000000,5,7,3138663
container,heavy,50000000,5,8,3135726
container,heavy,50000000,5,9,3114854
container,heavy,50000000,5,10,3126174
container,heavy,50000000,6,1,3360329
container,heavy,50000000,6,2,3106229
container,heavy,50000000,6,3,3119419
container,heavy,50000000,6,4,3124976
container,heavy,50000000,6,5,3118012
container,heavy,50000000,6,6,3106225
container,heavy,50000000,6,7,3107446
container,heavy,50000000,6,8,3104616
container,heavy,50000000,6,9,3128859
container,heavy,50000000,6,10,3119874
container,heavy,50000000,7,1,3335642
container,heavy,50000000,7,2,3139312
container,heavy,50000000,7,3,3136010
container,heavy,50000000,7,4,3132927
container,heavy,50000000,7,5,3107720
container,heavy,50000000,7,6,3119857
container,heavy,50000000,7,7,3110042
container,heavy,50000000,7,8,3116793
container,heavy,50000000,7,9,3105885
container,heavy,50000000,7,10,3105859
container,heavy,50000000,8,1,3333804
container,heavy,50000000,8,2,3128614
container,heavy,50000000,8,3,3118451
container,heavy,50000000,8,4,3109469
container,heavy,50000000,8,5,3117962
container,heavy,50000000,8,6,3101139
container,heavy,50000000,8,7,3125190
container,heavy,50000000,8,8,3102077
container,heavy,50000000,8,9,3127212
container,heavy,50000000,8,10,3125062
container,heavy,50000000,9,1,3375839
container,heavy,50000000,9,2,3136787
container,heavy,50000000,9,3,3130520
container,heavy,50000000,9,4,3111302
container,heavy,50000000,9,5,3114170
container,heavy,50000000,9,6,3111349
container,heavy,50000000,9,7,3120538
container,heavy,50000000,9,8,3139263
container,heavy,50000000,9,9,3107584
container,heavy,50000000,9,10,3128349
container,heavy,50000000,10,1,3356914
container,heavy,50000000,10,2,3133591
