name,task,input,loop-number,count,time
container,light,92,1,1,323026
container,light,92,1,2,93807
container,light,92,1,3,86934
container,light,92,1,4,82945
container,light,92,1,5,83007
container,light,92,1,6,81603
container,light,92,1,7,91865
container,light,92,1,8,75255
container,light,92,1,9,80877
container,light,92,1,10,83598
container,light,92,2,1,313807
container,light,92,2,2,85040
container,light,92,2,3,82639
container,light,92,2,4,59581
container,light,92,2,5,74607
container,light,92,2,6,87693
container,light,92,2,7,82913
container,light,92,2,8,85183
container,light,92,2,9,78514
container,light,92,2,10,92025
container,light,92,3,1,279593
container,light,92,3,2,67308
container,light,92,3,3,66940
container,light,92,3,4,87142
container,light,92,3,5,80859
container,light,92,3,6,76745
container,light,92,3,7,70026
container,light,92,3,8,79515
container,light,92,3,9,90625
container,light,92,3,10,86643
container,light,92,4,1,307137
container,light,92,4,2,78961
container,light,92,4,3,69190
container,light,92,4,4,73792
container,light,92,4,5,86529
container,light,92,4,6,82963
container,light,92,4,7,85295
container,light,92,4,8,83332
container,light,92,4,9,85048
container,light,92,4,10,81902
container,light,92,5,1,290237
container,light,92,5,2,80943
container,light,92,5,3,75824
container,light,92,5,4,80613
container,light,92,5,5,82738
container,light,92,5,6,85076
container,light,92,5,7,91054
container,light,92,5,8,83227
container,light,92,5,9,84552
container,light,92,5,10,74692
container,light,92,6,1,318261
container,light,92,6,2,78716
container,light,92,6,3,83410
container,light,92,6,4,83237
container,light,92,6,5,74929
container,light,92,6,6,73910
container,light,92,6,7,86607
container,light,92,6,8,77092
container,light,92,6,9,77293
container,light,92,6,10,84875
container,light,92,7,1,281467
container,light,92,7,2,73221
container,light,92,7,3,75109
container,light,92,7,4,79464
container,light,92,7,5,78840
container,light,92,7,6,65739
container,light,92,7,7,66177
container,light,92,7,8,70355
container,light,92,7,9,71588
container,light,92,7,10,67475
container,light,92,8,1,319395
container,light,92,8,2,83480
container,light,92,8,3,94212
container,light,92,8,4,83021
container,light,92,8,5,84960
container,light,92,8,6,90487
container,light,92,8,7,83299
container,light,92,8,8,80073
container,light,92,8,9,75976
container,light,92,8,10,84171
container,light,92,9,1,293725
container,light,92,9,2,81768
container,light,92,9,3,70649
container,light,92,9,4,70551
container,light,92,9,5,88012
container,light,92,9,6,85274
container,light,92,9,7,90395
container,light,92,9,8,84336
container,light,92,9,9,86080
container,light,92,9,10,86296
container,light,92,10,1,301323
container,light,92,10,2,73373
container,light,92,10,3,82138
container,light,92,10,4,87236
container,light,92,10,5,82754
container,light,92,10,6,88338
container,light,92,10,7,94134
container,light,92,10,8,79851
container,light,92,10,9,76539
container,light,92,10,10,84880
container,light,92,11,1,300227
container,light,92,11,2,82511
container,light,92,11,3,85300
container,light,92,11,4,85547
container,light,92,11,5,82432
container,light,92,11,6,72389
container,light,92,11,7,75880
container,light,92,11,8,84948
container,light,92,11,9,83591
container,light,92,11,10,78262
container,light,92,12,1,317607
container,light,92,12,2,66873
container,light,92,12,3,64828
container,light,92,12,4,63878
container,light,92,12,5,69952
container,light,92,12,6,71139
container,light,92,12,7,71832
container,light,92,12,8,62694
container,light,92,12,9,69094
container,light,92,12,10,70266
container,light,92,13,1,298765
container,light,92,13,2,74608
container,light,92,13,3,67166
container,light,92,13,4,75881
container,light,92,13,5,75347
container,light,92,13,6,75613
container,light,92,13,7,75885
container,light,92,13,8,77983
container,light,92,13,9,83320
container,light,92,13,10,80336
container,light,92,14,1,305430
container,light,92,14,2,78198
container,light,92,14,3,67666
container,light,92,14,4,76362
container,light,92,14,5,71036
container,light,92,14,6,80787
container,light,92,14,7,85365
container,light,92,14,8,81656
container,light,92,14,9,85389
container,light,92,14,10,86336
container,light,92,15,1,290930
container,light,92,15,2,69444
container,light,92,15,3,66215
container,light,92,15,4,64884
container,light,92,15,5,75723
container,light,92,15,6,66325
container,light,92,15,7,80671
container,light,92,15,8,79135
container,light,92,15,9,81149
container,light,92,15,10,73533
container,light,92,16,1,258808
container,light,92,16,2,79670
container,light,92,16,3,82772
container,light,92,16,4,75592
container,light,92,16,5,66994
container,light,92,16,6,62460
container,light,92,16,7,79975
container,light,92,16,8,76010
container,light,92,16,9,85500
container,light,92,16,10,81457
container,light,92,17,1,314255
container,light,92,17,2,91239
container,light,92,17,3,90694
container,light,92,17,4,77149
container,light,92,17,5,67137
container,light,92,17,6,94228
container,light,92,17,7,92139
container,light,92,17,8,91536
container,light,92,17,9,87370
container,light,92,17,10,80811
container,light,92,18,1,298492
container,light,92,18,2,76822
container,light,92,18,3,68098
container,light,92,18,4,78193
container,light,92,18,5,70575
container,light,92,18,6,72395
container,light,92,18,7,61642
container,light,92,18,8,70816
container,light,92,18,9,83148
container,light,92,18,10,74791
container,light,92,19,1,263961
container,light,92,19,2,80199
container,light,92,19,3,63336
container,light,92,19,4,70260
container,light,92,19,5,68620
container,light,92,19,6,80164
container,light,92,19,7,54099
container,light,92,19,8,61512
container,light,92,19,9,69823
container,light,92,19,10,80883
container,light,92,20,1,286575
container,light,92,20,2,70844
container,light,92,20,3,66196
container,light,92,20,4,77670
container,light,92,20,5,72794
container,light,92,20,6,60618
container,light,92,20,7,73432
container,light,92,20,8,66607
container,light,92,20,9,67050
container,light,92,20,10,64485
container,light,92,21,1,284786
container,light,92,21,2,68977
container,light,92,21,3,84847
container,light,92,21,4,71187
container,light,92,21,5,63901
container,light,92,21,6,70747
container,light,92,21,7,76827
container,light,92,21,8,65043
container,light,92,21,9,76697
container,light,92,21,10,74808
container,light,92,22,1,295564
container,light,92,22,2,91226
container,light,92,22,3,69154
container,light,92,22,4,70650
container,light,92,22,5,87167
container,light,92,22,6,73986
container,light,92,22,7,83202
container,light,92,22,8,75052
container,light,92,22,9,105839
container,light,92,22,10,84701
container,light,92,23,1,314242
container,light,92,23,2,74585
container,light,92,23,3,71438
container,light,92,23,4,81367
container,light,92,23,5,83704
container,light,92,23,6,85071
container,light,92,23,7,76667
container,light,92,23,8,87610
container,light,92,23,9,77207
container,light,92,23,10,77375
container,light,92,24,1,308969
container,light,92,24,2,82933
container,light,92,24,3,97952
container,light,92,24,4,81385
container,light,92,24,5,86698
container,light,92,24,6,81685
container,light,92,24,7,81051
container,light,92,24,8,94379
container,light,92,24,9,94364
container,light,92,24,10,85885
container,light,92,25,1,294793
container,light,92,25,2,72849
container,light,92,25,3,72188
container,light,92,25,4,82679
container,light,92,25,5,84407
container,light,92,25,6,84596
container,light,92,25,7,84555
container,light,92,25,8,85293
container,light,92,25,9,86959
container,light,92,25,10,77779
container,light,92,26,1,298278
container,light,92,26,2,77210
container,light,92,26,3,75889
container,light,92,26,4,81307
container,light,92,26,5,86007
container,light,92,26,6,75524
container,light,92,26,7,78616
container,light,92,26,8,89257
container,light,92,26,9,90915
container,light,92,26,10,77849
container,light,92,27,1,270810
container,light,92,27,2,73510
container,light,92,27,3,70580
container,light,92,27,4,66309
container,light,92,27,5,65870
container,light,92,27,6,79899
container,light,92,27,7,71958
container,light,92,27,8,72973
container,light,92,27,9,61152
container,light,92,27,10,72109
container,light,92,28,1,294559
container,light,92,28,2,66914
container,light,92,28,3,75448
container,light,92,28,4,79858
container,light,92,28,5,68281
container,light,92,28,6,54842
container,light,92,28,7,73024
container,light,92,28,8,70780
container,light,92,28,9,74464
container,light,92,28,10,76756
container,light,92,29,1,293767
container,light,92,29,2,83229
container,light,92,29,3,75456
container,light,92,29,4,65472
container,light,92,29,5,73778
container,light,92,29,6,74466
container,light,92,29,7,75644
container,light,92,29,8,71698
container,light,92,29,9,77537
container,light,92,29,10,73739
container,light,92,30,1,305821
container,light,92,30,2,74189
container,light,92,30,3,72702
container,light,92,30,4,76995
container,light,92,30,5,82726
container,light,92,30,6,71579
container,light,92,30,7,85129
container,light,92,30,8,75601
container,light,92,30,9,81903
container,light,92,30,10,85152
container,light,92,31,1,276262
container,light,92,31,2,66707
container,light,92,31,3,58211
container,light,92,31,4,79125
container,light,92,31,5,64696
container,light,92,31,6,64197
container,light,92,31,7,67762
container,light,92,31,8,63654
container,light,92,31,9,86903
container,light,92,31,10,87121
container,light,92,32,1,303671
container,light,92,32,2,81410
container,light,92,32,3,69585
container,light,92,32,4,80197
container,light,92,32,5,73748
container,light,92,32,6,67592
container,light,92,32,7,69784
container,light,92,32,8,82617
container,light,92,32,9,73638
container,light,92,32,10,58552
container,light,92,33,1,318808
container,light,92,33,2,83477
container,light,92,33,3,65970
container,light,92,33,4,68591
container,light,92,33,5,73135
container,light,92,33,6,76993
container,light,92,33,7,71024
container,light,92,33,8,93179
container,light,92,33,9,68411
container,light,92,33,10,72498
container,light,92,34,1,305411
container,light,92,34,2,70079
container,light,92,34,3,80949
container,light,92,34,4,73502
container,light,92,34,5,70298
container,light,92,34,6,70611
container,light,92,34,7,72496
container,light,92,34,8,63660
container,light,92,34,9,65423
container,light,92,34,10,64344
container,light,92,35,1,284961
container,light,92,35,2,65083
container,light,92,35,3,59416
container,light,92,35,4,75201
container,light,92,35,5,66112
container,light,92,35,6,72183
container,light,92,35,7,63464
container,light,92,35,8,63829
container,light,92,35,9,64346
container,light,92,35,10,77495
container,light,92,36,1,309924
container,light,92,36,2,78099
container,light,92,36,3,88100
container,light,92,36,4,78039
container,light,92,36,5,83684
container,light,92,36,6,83832
