name,task,input,loop-number,count,time
proposed,heavy,500,1,1,18600
proposed,heavy,500,1,2,4763
proposed,heavy,500,1,3,2046
proposed,heavy,500,1,4,3493
proposed,heavy,500,1,5,3807
proposed,heavy,500,1,6,2485
proposed,heavy,500,1,7,2081
proposed,heavy,500,1,8,1911
proposed,heavy,500,1,9,3128
proposed,heavy,500,1,10,4626
proposed,heavy,500,2,1,2331
proposed,heavy,500,2,2,3855
proposed,heavy,500,2,3,2230
proposed,heavy,500,2,4,2332
proposed,heavy,500,2,5,2203
proposed,heavy,500,2,6,2599
proposed,heavy,500,2,7,2886
proposed,heavy,500,2,8,3169
proposed,heavy,500,2,9,1956
proposed,heavy,500,2,10,2692
proposed,heavy,500,3,1,1983
proposed,heavy,500,3,2,5157
proposed,heavy,500,3,3,3847
proposed,heavy,500,3,4,3825
proposed,heavy,500,3,5,4937
proposed,heavy,500,3,6,4396
proposed,heavy,500,3,7,6194
proposed,heavy,500,3,8,4551
proposed,heavy,500,3,9,4773
proposed,heavy,500,3,10,5060
proposed,heavy,500,4,1,4696
proposed,heavy,500,4,2,6060
proposed,heavy,500,4,3,5506
proposed,heavy,500,4,4,6735
proposed,heavy,500,4,5,5085
proposed,heavy,500,4,6,6213
proposed,heavy,500,4,7,6356
proposed,heavy,500,4,8,6969
proposed,heavy,500,4,9,6605
proposed,heavy,500,4,10,4710
proposed,heavy,500,5,1,3713
proposed,heavy,500,5,2,4253
proposed,heavy,500,5,3,2956
proposed,heavy,500,5,4,3704
proposed,heavy,500,5,5,2379
proposed,heavy,500,5,6,7426
proposed,heavy,500,5,7,3226
proposed,heavy,500,5,8,4660
proposed,heavy,500,5,9,4154
proposed,heavy,500,5,10,4640
proposed,heavy,500,6,1,4152
proposed,heavy,500,6,2,2088
proposed,heavy,500,6,3,2503
proposed,heavy,500,6,4,2241
proposed,heavy,500,6,5,2608
proposed,heavy,500,6,6,3523
proposed,heavy,500,6,7,4523
proposed,heavy,500,6,8,3503
proposed,heavy,500,6,9,3799
proposed,heavy,500,6,10,5803
proposed,heavy,500,7,1,2368
proposed,heavy,500,7,2,2143
proposed,heavy,500,7,3,2168
proposed,heavy,500,7,4,3133
proposed,heavy,500,7,5,4033
proposed,heavy,500,7,6,2873
proposed,heavy,500,7,7,3347
proposed,heavy,500,7,8,2150
proposed,heavy,500,7,9,2227
proposed,heavy,500,7,10,3067
proposed,heavy,500,8,1,6485
proposed,heavy,500,8,2,4668
proposed,heavy,500,8,3,3005
proposed,heavy,500,8,4,3592
proposed,heavy,500,8,5,7363
proposed,heavy,500,8,6,8795
proposed,heavy,500,8,7,4495
proposed,heavy,500,8,8,4198
proposed,heavy,500,8,9,3762
proposed,heavy,500,8,10,4441
proposed,heavy,500,9,1,4630
proposed,heavy,500,9,2,3294
proposed,heavy,500,9,3,4434
proposed,heavy,500,9,4,6706
proposed,heavy,500,9,5,4782
proposed,heavy,500,9,6,7377
proposed,heavy,500,9,7,5760
proposed,heavy,500,9,8,6749
proposed,heavy,500,9,9,6757
proposed,heavy,500,9,10,5861
proposed,heavy,500,10,1,7484
proposed,heavy,500,10,2,4206
proposed,heavy,500,10,3,4392
proposed,heavy,500,10,4,4236
proposed,heavy,500,10,5,3947
proposed,heavy,500,10,6,5218
proposed,heavy,500,10,7,4367
proposed,heavy,500,10,8,2507
proposed,heavy,500,10,9,5441
proposed,heavy,500,10,10,4626
proposed,heavy,5000,1,1,41421
proposed,heavy,5000,1,2,2388
proposed,heavy,5000,1,3,2491
proposed,heavy,5000,1,4,3635
proposed,heavy,5000,1,5,4209
proposed,heavy,5000,1,6,3497
proposed,heavy,5000,1,7,3428
proposed,heavy,5000,1,8,3839
proposed,heavy,5000,1,9,10102
proposed,heavy,5000,1,10,5714
proposed,heavy,5000,2,1,3127
proposed,heavy,5000,2,2,5322
proposed,heavy,5000,2,3,5759
proposed,heavy,5000,2,4,5021
proposed,heavy,5000,2,5,5388
proposed,heavy,5000,2,6,5989
proposed,heavy,5000,2,7,5866
proposed,heavy,5000,2,8,8524
proposed,heavy,5000,2,9,4821
proposed,heavy,5000,2,10,5013
proposed,heavy,5000,3,1,4888
proposed,heavy,5000,3,2,6257
proposed,heavy,5000,3,3,4972
proposed,heavy,5000,3,4,5219
proposed,heavy,5000,3,5,5367
proposed,heavy,5000,3,6,4980
proposed,heavy,5000,3,7,6659
proposed,heavy,5000,3,8,5491
proposed,heavy,5000,3,9,5098
proposed,heavy,5000,3,10,4802
proposed,heavy,5000,4,1,5062
proposed,heavy,5000,4,2,4909
proposed,heavy,5000,4,3,4249
proposed,heavy,5000,4,4,4698
proposed,heavy,5000,4,5,4867
proposed,heavy,5000,4,6,7281
proposed,heavy,5000,4,7,5480
proposed,heavy,5000,4,8,5168
proposed,heavy,5000,4,9,5638
proposed,heavy,5000,4,10,5047
proposed,heavy,5000,5,1,3988
proposed,heavy,5000,5,2,6893
proposed,heavy,5000,5,3,5823
proposed,heavy,5000,5,4,3691
proposed,heavy,5000,5,5,3305
proposed,heavy,5000,5,6,5739
proposed,heavy,5000,5,7,3162
proposed,heavy,5000,5,8,6089
proposed,heavy,5000,5,9,2668
proposed,heavy,5000,5,10,6785
proposed,heavy,5000,6,1,5110
proposed,heavy,5000,6,2,5749
proposed,heavy,5000,6,3,6577
proposed,heavy,5000,6,4,6173
proposed,heavy,5000,6,5,8214
proposed,heavy,5000,6,6,6520
proposed,heavy,5000,6,7,6244
