name,task,input,loop-number,count,time
proposed,light,92,1,1,1876
proposed,light,92,1,2,1506
proposed,light,92,1,3,1769
proposed,light,92,1,4,2229
proposed,light,92,1,5,4084
proposed,light,92,1,6,1286
proposed,light,92,1,7,1969
proposed,light,92,1,8,2146
proposed,light,92,1,9,1101
proposed,light,92,1,10,865
proposed,light,92,2,1,2636
proposed,light,92,2,2,1796
proposed,light,92,2,3,2346
proposed,light,92,2,4,1526
proposed,light,92,2,5,1452
proposed,light,92,2,6,1535
proposed,light,92,2,7,1088
proposed,light,92,2,8,2188
proposed,light,92,2,9,1456
proposed,light,92,2,10,1354
proposed,light,92,3,1,1803
proposed,light,92,3,2,3662
proposed,light,92,3,3,1739
proposed,light,92,3,4,1748
proposed,light,92,3,5,1211
proposed,light,92,3,6,1849
proposed,light,92,3,7,1698
proposed,light,92,3,8,1947
proposed,light,92,3,9,1790
proposed,light,92,3,10,1849
proposed,light,92,4,1,1592
proposed,light,92,4,2,1425
proposed,light,92,4,3,1311
proposed,light,92,4,4,6845
proposed,light,92,4,5,5650
proposed,light,92,4,6,3173
proposed,light,92,4,7,1684
proposed,light,92,4,8,4719
proposed,light,92,4,9,4387
proposed,light,92,4,10,7490
proposed,light,92,5,1,1745
proposed,light,92,5,2,1225
proposed,light,92,5,3,1069
proposed,light,92,5,4,5549
proposed,light,92,5,5,1358
proposed,light,92,5,6,1338
proposed,light,92,5,7,1409
proposed,light,92,5,8,1019
proposed,light,92,5,9,1400
proposed,light,92,5,10,1342
proposed,light,92,6,1,1080
proposed,light,92,6,2,3568
proposed,light,92,6,3,2339
proposed,light,92,6,4,2297
proposed,light,92,6,5,2358
proposed,light,92,6,6,2087
proposed,light,92,6,7,3612
proposed,light,92,6,8,1731
proposed,light,92,6,9,1608
proposed,light,92,6,10,1154
proposed,light,92,7,1,1632
proposed,light,92,7,2,1003
proposed,light,92,7,3,2770
proposed,light,92,7,4,1756
proposed,light,92,7,5,5622
proposed,light,92,7,6,3378
proposed,light,92,7,7,1108
proposed,light,92,7,8,2335
proposed,light,92,7,9,1601
proposed,light,92,7,10,1340
proposed,light,92,8,1,1802
proposed,light,92,8,2,1347
proposed,light,92,8,3,4725
proposed,light,92,8,4,4873
proposed,light,92,8,5,4293
proposed,light,92,8,6,1578
proposed,light,92,8,7,3205
proposed,light,92,8,8,3560
proposed,light,92,8,9,2620
proposed,light,92,8,10,4236
proposed,light,92,9,1,930
proposed,light,92,9,2,1110
proposed,light,92,9,3,4369
proposed,light,92,9,4,3134
proposed,light,92,9,5,2909
proposed,light,92,9,6,3516
proposed,light,92,9,7,3251
proposed,light,92,9,8,9185
proposed,light,92,9,9,3236
proposed,light,92,9,10,3359
proposed,light,92,10,1,1483
proposed,light,92,10,2,1180
proposed,light,92,10,3,1522
proposed,light,92,10,4,1457
proposed,light,92,10,5,1561
proposed,light,92,10,6,1739
proposed,light,92,10,7,1526
proposed,light,92,10,8,1610
proposed,light,92,10,9,2227
proposed,light,92,10,10,1168
proposed,light,92,11,1,1250
proposed,light,92,11,2,3201
proposed,light,92,11,3,3077
proposed,light,92,11,4,3382
proposed,light,92,11,5,3435
proposed,light,92,11,6,3033
proposed,light,92,11,7,3941
proposed,light,92,11,8,2649
proposed,light,92,11,9,1262
proposed,light,92,11,10,3718
proposed,light,92,12,1,3872
proposed,light,92,12,2,1151
proposed,light,92,12,3,3599
proposed,light,92,12,4,2978
proposed,light,92,12,5,2915
proposed,light,92,12,6,2924
proposed,light,92,12,7,2306
proposed,light,92,12,8,2320
proposed,light,92,12,9,2098
proposed,light,92,12,10,3501
proposed,light,92,13,1,1760
proposed,light,92,13,2,1314
proposed,light,92,13,3,5015
proposed,light,92,13,4,3117
proposed,light,92,13,5,1907
proposed,light,92,13,6,1527
proposed,light,92,13,7,7020
proposed,light,92,13,8,1645
proposed,light,92,13,9,1621
proposed,light,92,13,10,1712
proposed,light,92,14,1,1661
proposed,light,92,14,2,2677
proposed,light,92,14,3,1500
proposed,light,92,14,4,6026
proposed,light,92,14,5,2729
proposed,light,92,14,6,4003
proposed,light,92,14,7,1517
proposed,light,92,14,8,927
proposed,light,92,14,9,1380
proposed,light,92,14,10,1515
proposed,light,92,15,1,1883
proposed,light,92,15,2,4041
proposed,light,92,15,3,4041
proposed,light,92,15,4,2975
proposed,light,92,15,5,1437
proposed,light,92,15,6,1401
proposed,light,92,15,7,1200
proposed,light,92,15,8,1424
proposed,light,92,15,9,4109
proposed,light,92,15,10,1827
proposed,light,92,16,1,2472
proposed,light,92,16,2,2371
proposed,light,92,16,3,1435
proposed,light,92,16,4,6271
proposed,light,92,16,5,2568
proposed,light,92,16,6,1452
proposed,light,92,16,7,2410
proposed,light,92,16,8,1395
proposed,light,92,16,9,4370
proposed,light,92,16,10,2247
proposed,light,92,17,1,2811
proposed,light,92,17,2,1315
proposed,light,92,17,3,1505
proposed,light,92,17,4,3222
proposed,light,92,17,5,1620
proposed,light,92,17,6,2461
proposed,light,92,17,7,2829
proposed,light,92,17,8,2156
proposed,light,92,17,9,2154
proposed,light,92,17,10,2006
proposed,light,92,18,1,1883
proposed,light,92,18,2,1547
proposed,light,92,18,3,1553
proposed,light,92,18,4,2104
proposed,light,92,18,5,1976
proposed,light,92,18,6,2750
proposed,light,92,18,7,2729
proposed,light,92,18,8,3126
proposed,light,92,18,9,3034
proposed,light,92,18,10,5675
proposed,light,92,19,1,1096
proposed,light,92,19,2,2600
proposed,light,92,19,3,5040
proposed,light,92,19,4,6215
proposed,light,92,19,5,3640
proposed,light,92,19,6,3602
proposed,light,92,19,7,3319
proposed,light,92,19,8,3447
proposed,light,92,19,9,2084
proposed,light,92,19,10,2086
proposed,light,92,20,1,1988
proposed,light,92,20,2,2987
proposed,light,92,20,3,5447
proposed,light,92,20,4,2768
proposed,light,92,20,5,1822
proposed,light,92,20,6,3186
proposed,light,92,20,7,2556
proposed,light,92,20,8,1655
proposed,light,92,20,9,4053
proposed,light,92,20,10,1683
proposed,light,92,21,1,1526
proposed,light,92,21,2,4345
proposed,light,92,21,3,2445
proposed,light,92,21,4,2488
proposed,light,92,21,5,2310
proposed,light,92,21,6,2321
proposed,light,92,21,7,1316
proposed,light,92,21,8,4571
proposed,light,92,21,9,2785
proposed,light,92,21,10,4022
proposed,light,92,22,1,1657
proposed,light,92,22,2,5178
proposed,light,92,22,3,5654
proposed,light,92,22,4,2992
proposed,light,92,22,5,820
proposed,light,92,22,6,5374
proposed,light,92,22,7,2331
proposed,light,92,22,8,1711
proposed,light,92,22,9,1589
proposed,light,92,22,10,2039
proposed,light,92,23,1,1333
proposed,light,92,23,2,966
proposed,light,92,23,3,3726
proposed,light,92,23,4,1777
proposed,light,92,23,5,1800
proposed,light,92,23,6,2211
proposed,light,92,23,7,7820
proposed,light,92,23,8,6638
proposed,light,92,23,9,4686
proposed,light,92,23,10,4208
proposed,light,92,24,1,1189
proposed,light,92,24,2,1401
proposed,light,92,24,3,1346
proposed,light,92,24,4,1523
proposed,light,92,24,5,1354
proposed,light,92,24,6,1247
proposed,light,92,24,7,4239
proposed,light,92,24,8,2983
proposed,light,92,24,9,1794
proposed,light,92,24,10,2373
proposed,light,92,25,1,856
proposed,light,92,25,2,870
proposed,light,92,25,3,3767
proposed,light,92,25,4,5801
proposed,light,92,25,5,3010
proposed,light,92,25,6,2967
proposed,light,92,25,7,1934
proposed,light,92,25,8,2311
proposed,light,92,25,9,8171
proposed,light,92,25,10,4642
proposed,light,92,26,1,1389
proposed,light,92,26,2,1802
proposed,light,92,26,3,8175
proposed,light,92,26,4,2638
proposed,light,92,26,5,1627
proposed,light,92,26,6,1955
proposed,light,92,26,7,1247
proposed,light,92,26,8,2925
proposed,light,92,26,9,2560
proposed,light,92,26,10,3133
proposed,light,92,27,1,3464
proposed,light,92,27,2,1420
proposed,light,92,27,3,6375
proposed,light,92,27,4,6024
proposed,light,92,27,5,5046
proposed,light,92,27,6,2909
proposed,light,92,27,7,5974
proposed,light,92,27,8,4339
proposed,light,92,27,9,7312
proposed,light,92,27,10,5840
proposed,light,92,28,1,1335
proposed,light,92,28,2,4682
proposed,light,92,28,3,6709
proposed,light,92,28,4,2507
proposed,light,92,28,5,2262
proposed,light,92,28,6,2769
proposed,light,92,28,7,3112
proposed,light,92,28,8,1906
proposed,light,92,28,9,2303
proposed,light,92,28,10,2220
proposed,light,92,29,1,1742
proposed,light,92,29,2,2914
proposed,light,92,29,3,3060
proposed,light,92,29,4,3534
proposed,light,92,29,5,2237
proposed,light,92,29,6,3431
proposed,light,92,29,7,2543
proposed,light,92,29,8,2524
proposed,light,92,29,9,4534
proposed,light,92,29,10,1463
proposed,light,92,30,1,1018
proposed,light,92,30,2,1379
proposed,light,92,30,3,2676
proposed,light,92,30,4,2285
proposed,light,92,30,5,2572
proposed,light,92,30,6,2526
proposed,light,92,30,7,2538
proposed,light,92,30,8,2667
proposed,light,92,30,9,3020
proposed,light,92,30,10,6881
proposed,light,92,31,1,1735
proposed,light,92,31,2,1644
proposed,light,92,31,3,1427
proposed,light,92,31,4,4685
proposed,light,92,31,5,3151
proposed,light,92,31,6,3104
proposed,light,92,31,7,3302
proposed,light,92,31,8,3840
proposed,light,92,31,9,2452
proposed,light,92,31,10,3480
proposed,light,92,32,1,1524
proposed,light,92,32,2,660
proposed,light,92,32,3,4957
proposed,light,92,32,4,901
proposed,light,92,32,5,869
proposed,light,92,32,6,1471
proposed,light,92,32,7,2774
proposed,light,92,32,8,2878
proposed,light,92,32,9,3252
proposed,light,92,32,10,3322
proposed,light,92,33,1,1101
proposed,light,92,33,2,1580
proposed,light,92,33,3,1547
proposed,light,92,33,4,1547
proposed,light,92,33,5,1501
proposed,light,92,33,6,1522
proposed,light,92,33,7,1665
