name,task,input,loop-number,count,time
wasm,heavy,50000000,1,1,10850433
wasm,heavy,50000000,1,2,10867735
wasm,heavy,50000000,1,3,10849033
wasm,heavy,50000000,1,4,10841117
wasm,heavy,50000000,1,5,10912231
wasm,heavy,50000000,1,6,10880264
wasm,heavy,50000000,1,7,10925437
wasm,heavy,50000000,1,8,10859883
wasm,heavy,50000000,1,9,10895725
wasm,heavy,50000000,1,10,10901903
wasm,heavy,50000000,2,1,10863108
wasm,heavy,50000000,2,2,10854742
wasm,heavy,50000000,2,3,10826227
wasm,heavy,50000000,2,4,10815466
wasm,heavy,50000000,2,5,10830024
wasm,heavy,50000000,2,6,10830482
wasm,heavy,50000000,2,7,10836749
wasm,heavy,50000000,2,8,10842906
wasm,heavy,50000000,2,9,10774229
wasm,heavy,50000000,2,10,10836081
wasm,heavy,50000000,3,1,10855427
wasm,heavy,50000000,3,2,10849614
wasm,heavy,50000000,3,3,10871426
wasm,heavy,50000000,3,4,10875337
wasm,heavy,50000000,3,5,10805569
wasm,heavy,50000000,3,6,10787901
wasm,heavy,50000000,3,7,10824656
wasm,heavy,50000000,3,8,10842811
wasm,heavy,50000000,3,9,10848352
wasm,heavy,50000000,3,10,10857505
wasm,heavy,50000000,4,1,10836298
wasm,heavy,50000000,4,2,10848912
wasm,heavy,50000000,4,3,10850437
wasm,heavy,50000000,4,4,10875537
wasm,heavy,50000000,4,5,10883588
wasm,heavy,50000000,4,6,10864108
wasm,heavy,50000000,4,7,10843356
wasm,heavy,50000000,4,8,10871120
wasm,heavy,50000000,4,9,10873663
wasm,heavy,50000000,4,10,10847838
wasm,heavy,50000000,5,1,10863220
wasm,heavy,50000000,5,2,10858070
wasm,heavy,50000000,5,3,10865947
wasm,heavy,50000000,5,4,10853609
wasm,heavy,50000000,5,5,10874936
wasm,heavy,50000000,5,6,10836858
wasm,heavy,50000000,5,7,10857973
wasm,heavy,50000000,5,8,10834022
wasm,heavy,50000000,5,9,10893024
wasm,heavy,50000000,5,10,10884228
wasm,heavy,50000000,6,1,10887921
wasm,heavy,50000000,6,2,10856438
wasm,heavy,50000000,6,3,10845690
wasm,heavy,50000000,6,4,10839329
wasm,heavy,50000000,6,5,10852082
wasm,heavy,50000000,6,6,10806206
wasm,heavy,50000000,6,7,10861092
wasm,heavy,50000000,6,8,10847648
wasm,heavy,50000000,6,9,10871786
wasm,heavy,50000000,6,10,10850906
wasm,heavy,50000000,7,1,10836270
wasm,heavy,50000000,7,2,10866647
wasm,heavy,50000000,7,3,10788810
wasm,heavy,50000000,7,4,10851743
wasm,heavy,50000000,7,5,10846675
wasm,heavy,50000000,7,6,10841977
wasm,heavy,50000000,7,7,10874653
wasm,heavy,50000000,7,8,10846676
wasm,heavy,50000000,7,9,10865556
wasm,heavy,50000000,7,10,10853095
wasm,heavy,50000000,8,1,10800717
wasm,heavy,50000000,8,2,10803867
wasm,heavy,50000000,8,3,10854249
wasm,heavy,50000000,8,4,10837673
wasm,heavy,50000000,8,5,10845701
wasm,heavy,50000000,8,6,10828771
wasm,heavy,50000000,8,7,10841426
wasm,heavy,50000000,8,8,10810278
wasm,heavy,50000000,8,9,10812979
wasm,heavy,50000000,8,10,10828061
wasm,heavy,50000000,9,1,10833719
wasm,heavy,50000000,9,2,10852261
wasm,heavy,50000000,9,3,10857395
wasm,heavy,50000000,9,4,10830787
wasm,heavy,50000000,9,5,10842093
wasm,heavy,50000000,9,6,10787250
wasm,heavy,50000000,9,7,10854876
wasm,heavy,50000000,9,8,10862042
wasm,heavy,50000000,9,9,10860638
wasm,heavy,50000000,9,10,10854752
wasm,heavy,50000000,10,1,10845010
wasm,heavy,50000000,10,2,10892171
wasm,heavy,50000000,10,3,10798473
wasm,heavy,50000000,10,4,10869506
wasm,heavy,50000000,10,5,10880401
wasm,heavy,50000000,10,6,10860645
wasm,heavy,50000000,10,7,10860053
wasm,heavy,50000000,10,8,10859752
wasm,heavy,50000000,10,9,10908098
wasm,heavy,50000000,10,10,10883628
wasm,heavy,50000000,11,1,10898863
wasm,heavy,50000000,11,2,10895201
wasm,heavy,50000000,11,3,10841106
wasm,heavy,50000000,11,4,10849778
wasm,heavy,50000000,11,5,10851032
wasm,heavy,50000000,11,6,10859396
wasm,heavy,50000000,11,7,10850897
wasm,heavy,50000000,11,8,10820437
wasm,heavy,50000000,11,9,10835583
wasm,heavy,50000000,11,10,10853047
wasm,heavy,50000000,12,1,10835681
wasm,heavy,50000000,12,2,10824927
wasm,heavy,50000000,12,3,10817187
wasm,heavy,50000000,12,4,10816225
wasm,heavy,50000000,12,5,10814729
wasm,heavy,50000000,12,6,10814417
wasm,heavy,50000000,12,7,10854767
wasm,heavy,50000000,12,8,10821358
wasm,heavy,50000000,12,9,10843344
wasm,heavy,50000000,12,10,10830717
wasm,heavy,50000000,13,1,10852798
wasm,heavy,50000000,13,2,10861627
wasm,heavy,50000000,13,3,10789801
wasm,heavy,50000000,13,4,10890904
wasm,heavy,50000000,13,5,10902307
wasm,heavy,50000000,13,6,10890433
wasm,heavy,50000000,13,7,10867251
wasm,heavy,50000000,13,8,10873573
wasm,heavy,50000000,13,9,10875907
wasm,heavy,50000000,13,10,10867172
wasm,heavy,50000000,14,1,10874062
wasm,heavy,50000000,14,2,10844165
wasm,heavy,50000000,14,3,10860416
wasm,heavy,50000000,14,4,10848005
wasm,heavy,50000000,14,5,10867036
wasm,heavy,50000000,14,6,10867880
wasm,heavy,50000000,14,7,10853555
wasm,heavy,50000000,14,8,10817386
wasm,heavy,50000000,14,9,10835872
wasm,heavy,50000000,14,10,10845526
wasm,heavy,50000000,15,1,10839422
wasm,heavy,50000000,15,2,10847289
wasm,heavy,50000000,15,3,10828698
wasm,heavy,50000000,15,4,10864961
wasm,heavy,50000000,15,5,10844333
wasm,heavy,50000000,15,6,10805009
wasm,heavy,50000000,15,7,10850591
wasm,heavy,50000000,15,8,10845602
wasm,heavy,50000000,15,9,10842180
wasm,heavy,50000000,15,10,10867874
wasm,heavy,50000000,16,1,10824980
wasm,heavy,50000000,16,2,10834316
wasm,heavy,50000000,16,3,10791984
wasm,heavy,50000000,16,4,10831798
wasm,heavy,50000000,16,5,10830796
wasm,heavy,50000000,16,6,10839190
wasm,heavy,50000000,16,7,10893616
wasm,heavy,50000000,16,8,10840913
wasm,heavy,50000000,16,9,10839281
wasm,heavy,50000000,16,10,10851402
wasm,heavy,50000000,17,1,10870848
wasm,heavy,50000000,17,2,10814941
wasm,heavy,50000000,17,3,10805607
wasm,heavy,50000000,17,4,10887839
wasm,heavy,50000000,17,5,10873235
wasm,heavy,50000000,17,6,10926133
wasm,heavy,50000000,17,7,10884693
wasm,heavy,50000000,17,8,10765946
