name,task,input,min-coldstart,min-latency,max-min-coldstart,max-min-latency
proposed,light,92,-0.06451612903225812,1274,1.1383299798792756,2287
proposed,heavy,500,-0.10088227430710284,789,-0.025724732306085185,1811
proposed,heavy,5000,-0.4175828617623282,1368,1.0868430354278256,2677
proposed,heavy,50000,-0.21726080189728003,8305,0.847354973029242,10485
proposed,heavy,500000,0.045738364750180116,65473,0.1644076283171847,68305
proposed,heavy,5000000,-0.00027395586591649757,643369,0.596994359293094,647253
proposed,heavy,50000000,0.06838867961400652,5156709,0.36055569108892627,5203741
wasm,light,92,-0.012448870709585669,555,2.4816247582205033,940
wasm,heavy,500,-0.3143867924528302,735,0.3026687598116169,866
wasm,heavy,5000,0.07169344870210126,2015,0.1979045401629802,2219
wasm,heavy,50000,0.10284354945784457,13711,0.15052386367400117,13711
wasm,heavy,500000,0.08769207592648387,65189,0.09256438015273916,67351
wasm,heavy,5000000,-0.0010818192358728052,643858,0.009874982935827559,647258
wasm,heavy,50000000,0.0016366246806469587,10784267,0.004436879286563,10846119
container,light,92,2.731875412449608,73450,3.6817376293083672,84807
container,heavy,500,3.127387378559633,66405,3.127387378559633,77744
container,heavy,5000,2.4381574832782142,72681,3.0810887681674677,81800
container,heavy,50000,2.8736932591319087,73509,2.8736932591319087,82962
container,heavy,500000,1.9134931685152168,102327,2.1970911176984256,109708
container,heavy,5000000,0.6724459417736799,361953,0.6724459417736799,388856
container,heavy,50000000,0.06622008382570876,3100612,0.35569978774158795,3125514
