count,time,living-containers
1,11:23:18,1
2,11:29:21,1
3,11:35:23,1
4,11:41:26,1
5,11:47:28,1
6,11:53:31,1
7,11:59:34,1
8,12:05:36,1
9,12:11:38,1
10,12:17:41,1
11,12:23:44,1
12,12:29:48,1
13,12:35:52,1
14,12:41:56,1
15,12:47:59,1
16,12:54:01,1
17,13:00:04,1
18,13:06:08,1
19,13:12:12,1
20,13:18:14,1
21,13:24:17,1
22,13:30:19,1
23,13:36:24,1
24,13:42:26,1
25,13:48:29,1
26,13:54:31,1
27,14:00:34,1
28,14:06:37,1
29,14:12:40,1
30,14:18:42,1
31,14:24:45,1
32,14:30:47,1
33,14:36:50,1
34,14:42:53,1
35,14:48:55,1
36,14:55:00,1
37,15:01:02,1
38,15:07:05,1
39,15:13:09,1
40,15:19:11,1
41,15:25:14,1
42,15:31:16,1
43,15:37:19,1
44,15:43:22,1
45,15:49:24,1
46,15:55:27,1
47,16:01:29,1
48,16:07:34,1
49,16:13:36,1
50,16:19:39,1
51,16:25:41,1
52,16:31:44,1
53,16:37:46,1
54,16:43:49,1
55,16:49:51,1
56,16:55:54,1
57,17:01:57,1
58,17:07:59,1
59,17:14:02,1
60,17:20:06,1
61,17:26:09,1
62,17:32:11,1
63,17:38:14,1
64,17:44:16,1
65,17:50:19,1
66,17:56:21,1
67,18:02:24,1
68,18:08:26,1
69,18:14:29,1
70,18:20:31,1
71,18:26:34,1
72,18:32:37,1
73,18:38:39,1
74,18:44:42,1
75,18:50:45,1
76,18:56:48,1
77,19:02:51,1
78,19:08:53,1
79,19:14:56,1
80,19:20:58,1
81,19:27:01,1
82,19:33:04,1
83,19:39:06,1
84,19:45:09,1
85,19:51:11,1
86,19:57:14,1
87,20:03:16,1
88,20:09:19,1
89,20:15:21,1
90,20:21:24,1
91,20:27:27,1
92,20:33:29,1
93,20:39:32,1
94,20:45:34,1
95,20:51:37,1
96,20:57:41,1
97,21:03:43,1
98,21:09:46,1
99,21:15:49,1
100,21:21:51,1
