count,time,living-containers
1,06:29:12,1
2,06:34:22,0
3,06:39:33,0
4,06:44:43,0
5,06:49:53,0
6,06:55:03,0
7,07:00:13,0
8,07:05:24,0
9,07:10:34,0
10,07:15:44,0
11,07:20:54,0
12,07:26:04,0
13,07:31:15,0
14,07:36:25,0
15,07:41:35,0
16,07:46:45,0
17,07:51:55,0
18,07:57:06,0
19,08:02:16,0
20,08:07:26,0
21,08:12:36,0
22,08:17:47,0
23,08:22:57,0
24,08:28:07,0
25,08:33:17,0
26,08:38:27,0
27,08:43:38,0
28,08:48:48,0
29,08:53:58,0
30,08:59:08,0
31,09:04:18,0
32,09:09:29,0
33,09:14:39,0
34,09:19:49,0
35,09:24:59,0
36,09:30:09,0
37,09:35:20,0
38,09:40:30,0
39,09:45:40,0
40,09:50:50,0
41,09:56:00,0
42,10:01:11,0
43,10:06:21,0
44,10:11:31,0
45,10:16:41,0
46,10:21:51,0
47,10:27:02,0
48,10:32:12,0
49,10:37:22,0
50,10:42:32,0
51,10:47:42,0
52,10:52:52,0
53,10:58:03,0
54,11:03:13,0
55,11:08:23,0
56,11:13:33,0
57,11:18:43,0
58,11:23:54,0
59,11:29:04,0
60,11:34:14,0
61,11:39:24,0
62,11:44:34,0
63,11:49:45,0
64,11:54:55,0
65,12:00:05,0
66,12:05:15,0
67,12:10:25,0
68,12:15:36,0
69,12:20:46,0
70,12:25:56,0
71,12:31:06,0
72,12:36:16,0
73,12:41:27,0
74,12:46:37,0
75,12:51:47,0
76,12:56:57,0
77,13:02:07,0
78,13:07:18,0
79,13:12:28,0
80,13:17:38,0
81,13:22:48,0
82,13:27:58,0
83,13:33:09,0
84,13:38:19,0
85,13:43:29,0
86,13:48:39,0
87,13:53:49,0
88,13:59:00,0
89,14:04:10,0
90,14:09:20,0
91,14:14:30,0
92,14:19:40,0
93,14:24:50,0
94,14:30:01,0
95,14:35:11,0
96,14:40:21,0
97,14:45:31,0
98,14:50:42,0
99,14:55:52,0
100,15:01:02,0
