count,time,living-containers
1,21:29:11,0
2,21:36:10,0
3,21:43:08,0
4,21:50:07,0
5,21:57:06,0
6,22:04:05,0
7,22:11:04,0
8,22:18:02,0
9,22:25:01,0
10,22:32:00,0
11,22:38:59,0
12,22:45:57,0
13,22:52:56,0
14,22:59:55,0
15,23:06:53,0
16,23:13:52,0
17,23:20:51,0
18,23:27:50,0
19,23:34:49,0
20,23:41:48,0
21,23:48:46,0
22,23:55:45,0
23,00:02:44,0
24,00:09:42,0
25,00:16:41,0
26,00:23:40,0
27,00:30:39,0
28,00:37:37,0
29,00:44:36,0
30,00:51:35,0
31,00:58:34,0
32,01:05:32,0
33,01:12:31,0
34,01:19:30,0
35,01:26:28,0
36,01:33:27,0
37,01:40:26,0
38,01:47:25,0
39,01:54:23,0
40,02:01:22,0
41,02:08:21,0
42,02:15:20,0
43,02:22:18,0
44,02:29:17,0
45,02:36:16,0
46,02:43:14,0
47,02:50:13,0
48,02:57:12,0
49,03:04:11,0
50,03:11:09,0
51,03:18:08,0
52,03:25:07,0
53,03:32:05,0
54,03:39:04,0
55,03:46:03,0
56,03:53:01,0
57,04:00:00,0
58,04:06:59,0
59,04:13:58,0
60,04:20:56,0
61,04:27:55,0
62,04:34:54,0
63,04:41:53,0
64,04:48:51,0
65,04:55:50,0
66,05:02:49,0
67,05:09:48,0
68,05:16:46,0
69,05:23:45,0
70,05:30:44,0
71,05:37:43,0
72,05:44:42,0
73,05:51:40,0
74,05:58:39,0
75,06:04:54,0
76,06:11:09,0
77,06:17:24,0
78,06:23:39,0
79,06:29:54,0
80,06:36:08,0
81,06:42:23,0
82,06:48:38,0
83,06:54:53,0
84,07:01:08,0
85,07:07:23,0
86,07:13:38,0
87,07:19:53,0
88,07:26:08,0
89,07:32:23,0
90,07:38:38,0
91,07:44:53,0
92,07:51:08,0
93,07:57:22,0
94,08:03:37,0
95,08:09:52,0
96,08:16:07,0
97,08:22:22,0
98,08:28:37,0
99,08:34:52,0
100,08:41:07,0
