count,time,living-containers
1,15:06:33,0
2,15:11:43,0
3,15:16:53,0
4,15:22:03,0
5,15:27:13,0
6,15:32:24,0
7,15:37:34,0
8,15:42:44,0
9,15:47:54,0
10,15:53:04,0
11,15:58:15,0
12,16:03:25,0
13,16:08:35,0
14,16:13:45,0
15,16:18:55,0
16,16:24:05,0
17,16:29:16,0
18,16:34:26,0
19,16:39:36,0
20,16:44:46,0
21,16:49:56,0
22,16:55:07,0
23,17:00:17,0
24,17:05:27,0
25,17:10:37,0
26,17:15:47,0
27,17:20:58,0
28,17:26:08,0
29,17:31:18,0
30,17:36:28,0
31,17:41:38,0
32,17:46:48,0
33,17:51:59,0
34,17:57:09,0
35,18:02:19,0
36,18:07:29,0
37,18:12:39,0
38,18:17:50,0
39,18:23:00,0
40,18:28:10,0
41,18:33:20,0
42,18:38:30,0
43,18:43:41,0
44,18:48:51,0
45,18:54:01,0
46,18:59:11,0
47,19:04:21,0
48,19:09:31,0
49,19:14:42,0
50,19:19:52,0
51,19:25:02,0
52,19:30:12,0
53,19:35:22,0
54,19:40:33,0
55,19:45:43,0
56,19:50:53,0
57,19:56:03,0
58,20:01:13,0
59,20:06:23,0
60,20:11:34,0
61,20:16:44,0
62,20:21:54,0
63,20:27:04,0
64,20:32:14,0
65,20:37:25,0
66,20:42:35,0
67,20:47:45,0
68,20:52:55,0
69,20:58:05,0
70,21:03:15,0
71,21:08:26,0
72,21:13:36,0
73,21:18:46,0
74,21:23:56,0
75,21:29:06,0
76,21:34:17,0
77,21:39:27,0
78,21:44:37,0
79,21:49:47,0
80,21:54:57,0
81,22:00:07,0
82,22:05:18,0
83,22:10:28,0
84,22:15:38,0
85,22:20:48,0
86,22:25:58,0
87,22:31:08,0
88,22:36:19,0
89,22:41:29,0
90,22:46:39,0
91,22:51:49,0
92,22:56:59,0
93,23:02:10,0
94,23:07:20,0
95,23:12:30,0
96,23:17:40,0
97,23:22:50,0
98,23:28:01,0
99,23:33:11,0
100,23:38:21,0
